ARREST_PRECINCT,ARREST_KEY
1,2792
5,4570
6,2722
7,2311
9,2310
10,1954
13,3202
14,8097
17,1491
18,3883
19,2352
20,1622
22,137
23,3348
24,1803
25,5356
26,1778
28,2320
30,1631
32,3130
33,2651
34,3096
40,6730
41,3748
42,4278
43,4842
44,7123
45,2617
46,5743
47,5182
48,4604
49,3344
50,1320
52,5915
60,3880
61,2231
62,1653
63,2051
66,1293
67,4736
68,2502
69,2176
70,3874
71,3072
72,3286
73,5482
75,6694
76,2080
77,3650
78,1783
79,3828
81,2157
83,3053
84,3607
88,1415
90,2539
94,1365
100,1552
101,2701
102,3496
103,4132
104,2624
105,3195
106,2777
107,2309
108,1929
109,3984
110,3656
111,1055
112,1628
113,6251
114,4281
115,4370
120,4587
121,2609
122,2004
123,1224
