,Unnamed: 0,precinct,no_arrest,yes_arrest,year
0,0,1.0,41.0,4.0,2015
1,1,5.0,160.0,27.0,2015
2,2,6.0,24.0,3.0,2015
3,3,7.0,136.0,29.0,2015
4,4,9.0,167.0,94.0,2015
5,5,10.0,103.0,9.0,2015
6,6,13.0,212.0,119.0,2015
7,7,14.0,256.0,55.0,2015
8,8,17.0,100.0,21.0,2015
9,9,18.0,89.0,11.0,2015
10,10,19.0,140.0,110.0,2015
11,11,20.0,122.0,28.0,2015
12,12,22.0,34.0,4.0,2015
13,13,23.0,299.0,41.0,2015
14,14,24.0,134.0,39.0,2015
15,15,25.0,284.0,127.0,2015
16,16,26.0,72.0,25.0,2015
17,17,28.0,137.0,16.0,2015
18,18,30.0,97.0,20.0,2015
19,19,32.0,256.0,81.0,2015
20,20,33.0,80.0,9.0,2015
21,21,34.0,110.0,14.0,2015
22,22,40.0,387.0,540.0,2015
23,23,41.0,448.0,79.0,2015
24,24,42.0,222.0,153.0,2015
25,25,43.0,224.0,181.0,2015
26,26,44.0,398.0,63.0,2015
27,27,45.0,234.0,28.0,2015
28,28,46.0,162.0,27.0,2015
29,29,47.0,332.0,213.0,2015
30,30,48.0,79.0,21.0,2015
31,31,49.0,476.0,105.0,2015
32,32,50.0,152.0,13.0,2015
33,33,52.0,195.0,21.0,2015
34,34,60.0,389.0,99.0,2015
35,35,61.0,77.0,22.0,2015
36,36,62.0,209.0,47.0,2015
37,37,63.0,163.0,8.0,2015
38,38,66.0,379.0,89.0,2015
39,39,67.0,729.0,40.0,2015
40,40,68.0,60.0,10.0,2015
41,41,69.0,148.0,19.0,2015
42,42,70.0,527.0,30.0,2015
43,43,71.0,220.0,32.0,2015
44,44,72.0,129.0,20.0,2015
45,45,73.0,238.0,47.0,2015
46,46,75.0,465.0,78.0,2015
47,47,76.0,144.0,26.0,2015
48,48,77.0,125.0,18.0,2015
49,49,78.0,76.0,7.0,2015
50,50,79.0,522.0,60.0,2015
51,51,81.0,111.0,8.0,2015
52,52,83.0,177.0,64.0,2015
53,53,84.0,238.0,33.0,2015
54,54,88.0,81.0,23.0,2015
55,55,90.0,263.0,29.0,2015
56,56,94.0,66.0,11.0,2015
57,57,100.0,141.0,17.0,2015
58,58,101.0,145.0,30.0,2015
59,59,102.0,558.0,63.0,2015
60,60,103.0,147.0,13.0,2015
61,61,104.0,99.0,32.0,2015
62,62,105.0,405.0,106.0,2015
63,63,106.0,1355.0,126.0,2015
64,64,107.0,529.0,41.0,2015
65,65,108.0,87.0,5.0,2015
66,66,109.0,175.0,46.0,2015
67,67,110.0,125.0,67.0,2015
68,68,111.0,174.0,25.0,2015
69,69,112.0,167.0,8.0,2015
70,70,113.0,150.0,13.0,2015
71,71,114.0,663.0,75.0,2015
72,72,115.0,112.0,20.0,2015
73,73,120.0,519.0,38.0,2015
74,74,121.0,686.0,39.0,2015
75,75,122.0,363.0,24.0,2015
76,76,123.0,97.0,30.0,2015
77,0,1.0,46.0,7.0,2016
78,1,5.0,63.0,17.0,2016
79,2,6.0,22.0,9.0,2016
80,3,7.0,41.0,12.0,2016
81,4,9.0,63.0,17.0,2016
82,5,10.0,52.0,13.0,2016
83,6,13.0,68.0,25.0,2016
84,7,14.0,99.0,22.0,2016
